OccID,Latitude,Longitude,CountryID_DisplayEng,PROVINCE
152466,26.63583889,-78.6909,CUBA,
152198,63.985,-22.60555556,ICELAND,
152051,42.65,-142.0456,INTERNATIONAL WATERS,
151881,58.93,-50.18944444,CANADA,
151871,49.73333333,-51.26666667,CANADA,
151416,59.66666667,-46.43333333,CANADA,
151213,48,-50,CANADA,
150751,48,-15,IRELAND,
150722,18.50361111,-77.91333333,JAMAICA,
150671,39.55166667,24.7,SPAIN,
150379,35.3312,139.7811111,JAPAN,
150317,53.42138889,-6.27,IRELAND,
150299,43,-20,INTERNATIONAL WATERS,
150181,43.07222,-57.868,CANADA,
146472,64.1355,-21.8954,ICELAND,
146209,53.42138889,-6.27,IRELAND,
145740,55,-30,CANADA,
145612,49,-50,CANADA,
145174,51,-50,CANADA,
145172,25.03333333,-77.45,BAHAMAS,
145095,52,-50,CANADA,
144910,49.5,-44.5,CANADA,
144828,57,-20,CANADA,
144532,48.11666667,-51.86666667,CANADA,
144428,54.8,-45.46666667,INTERNATIONAL WATERS,
144336,50,-40,INTERNATIONAL WATERS,
144278,20.33333333,-70.33333333,DOMINICAN REPUBLIC,
144229,45,-40,CANADA,
144190,44.16666667,-54.88333333,INTERNATIONAL WATERS,
144009,35.76527778,140.3855556,JAPAN,
143794,56.11666667,-35,CANADA,
143775,53.95,-31.06666667,CANADA,
143614,37.71666667,41.56666667,TURKEY,
143281,48,-50,INTERNATIONAL WATERS,
143074,48,-50,CANADA,
142836,60,-47,CANADA,
142735,50,-50,INTERNATIONAL WATERS,
142468,58,-50,CANADA,
142348,53.08333333,-54.08333333,CANADA,
142306,46.91666667,-51,CANADA,
142232,47.28333333,-34.31666667,CANADA,
142074,46.7,-48,CANADA,
141904,51,-50,CANADA,
141889,68,-40,CANADA,
141542,34.46666667,-67.6,BERMUDA,
141216,59.1,-40.65,CANADA,
141207,40,-166.5,INTERNATIONAL WATERS,
141203,28,-73,INTERNATIONAL WATERS,
141154,7.08333333,-77.75,COLOMBIA,
141001,61,-58,CANADA,
140376,19.4326,-99.1332,MEXICO,
140065,49,-132.45,CANADA,
139894,19.4326,-99.1332,MEXICO,
139586,50,-145,CANADA,
139425,48.93333333,-131.2166667,CANADA,
138413,45.5,-33,CANADA,
138365,52.33333333,-42.5,CANADA,
137144,54,-50,CANADA,
137111,25.03888889,-77.46611111,BAHAMAS,
136939,40.4093,49.8671,AZERBAIJAN,
136369,24.05,-74.51666667,SALVADOR,
136348,38.2925,27.15694444,TURKEY,
136032,36.96666667,-25.16666667,PORTUGAL,
135942,48,-50,CANADA,
135608,46,-42,CANADA,
135312,-74.06666667,10.9,ANTARCTICA,
134181,53.41666667,-6.26666667,IRELAND,
133798,46,-41,INTERNATIONAL WATERS,
133760,48,-50,CANADA,
133746,44.11666667,-52.81666667,INTERNATIONAL WATERS,
133601,50.5,-52.06666667,INTERNATIONAL WATERS,
133491,40,47,AZERBAIJAN,
133303,58,-50,INTERNATIONAL WATERS,
133110,34.42722222,135.2441667,JAPAN,
133106,50,-40,INTERNATIONAL WATERS,
132906,52,-35,INTERNATIONAL WATERS,
132726,46,-51,INTERNATIONAL WATERS,
131936,48,-50,INTERNATIONAL WATERS,
131491,69.63333333,-65.78333333,CANADA,
