"Archived - Foreign exchange rates in Canadian dollars, Bank of Canada, monthly 1 2"
"Frequency: Monthly"
"Table: 10-10-0009-01 (formerly CANSIM 176-0064)"
"Release date: 2017-05-02"
"Geography:"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of currency","January 1995","February 1995","March 1995","April 1995","May 1995","June 1995","July 1995","August 1995","September 1995","October 1995","November 1995","December 1995","January 1996","February 1996","March 1996","April 1996","May 1996","June 1996","July 1996","August 1996","September 1996","October 1996","November 1996","December 1996","January 1997","February 1997","March 1997","April 1997","May 1997","June 1997","July 1997","August 1997","September 1997","October 1997","November 1997","December 1997","January 1998","February 1998","March 1998","April 1998","May 1998","June 1998","July 1998","August 1998","September 1998","October 1998","November 1998","December 1998","January 1999","February 1999","March 1999","April 1999","May 1999","June 1999","July 1999","August 1999","September 1999","October 1999","November 1999","December 1999","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States dollar, noon spot rate, average","1.41289524","1.40051500","1.40736522","1.37585789","1.36084091","1.37720455","1.36086500","1.35492727","1.35073500","1.34549524","1.35317619","1.36946842","1.36654546","1.37550001","1.36533810","1.35909524","1.36904545","1.36549500","1.36934545","1.37182857","1.36924500","1.35063636","1.33837000","1.36181500","1.34861364","1.35520000","1.37183500","1.39398182","1.38047143","1.38398095","1.37710455","1.39045000","1.38690952","1.38667727","1.41325263","1.42670000","1.44080952","1.43397000","1.41627727","1.42980952","1.44499500","1.46530455","1.48762727","1.53529000","1.52134762","1.54504286","1.53937000","1.54221905","1.51920500","1.49727500","1.51750000","1.48737619","1.46204500","1.46909545","1.48878095","1.49234762","1.47682381","1.47730500","1.46745238","1.47325238","1.44893000","1.45106667","1.46058261","1.46841579","1.49546818","1.47684091","1.47785500","1.48245000","1.48616500","1.51229524","1.54222381","1.52243684","1.50315455","1.52181500","1.55850000","1.55748500","1.54145455","1.52439524","1.53036667","1.54015909","1.56767895","1.57117727","1.59242381","1.57746842","1.60028636","1.59584500","1.58702500","1.58135909","1.54965455","1.53168500","1.54593636","1.56793810","1.57584500","1.57781364","1.57141000","1.55931500","1.54101818","1.51235000","1.47590952","1.45848095","1.38449524","1.35227143","1.38151818","1.39565000","1.36322381","1.32184545","1.31257895","1.31283333","1.29599048","1.32896000","1.32835652","1.34245238","1.37832500","1.35765909","1.32194286","1.31177143","1.28779524","1.24694000","1.19607619","1.21910952","1.22533500","1.23967000","1.21610000","1.23601905","1.25550952","1.24021364","1.22274500","1.20402273","1.17759048","1.17757500","1.18107619","1.16100500","1.15728571","1.14889000","1.15740435","1.14377368","1.10946364","1.11384545","1.12924000","1.11826364","1.11617500","1.12860000","1.13619524","1.15300000","1.17593182","1.17066000","1.16822727","1.13425000","1.09490000","1.06516667","1.05033810","1.05822273","1.02535263","0.97523182","0.96711905","1.00314737","1.01113182","0.99908571","1.00202500","1.01388636","0.99937143","1.01673333","1.01269545","1.05439500","1.05829524","1.18475000","1.21817368","1.23450000","1.22630000","1.24514000","1.26451364","1.22404286","1.15092000","1.12653182","1.12217727","1.08821000","1.08176190","1.05485238","1.05957500","1.05440000","1.04293500","1.05682000","1.02300435","1.00506190","1.03992000","1.03793182","1.04268571","1.04138571","1.03308571","1.01797500","1.01280000","1.00774762","0.99384500","0.98755500","0.97659130","0.95821500","0.96797619","0.97675000","0.95530000","0.98283636","1.00260000","1.01982500","1.02581905","1.02378500","1.01326190","0.99652857","0.99385455","0.99263000","1.00984091","1.02807143","1.01393333","0.99214091","0.97829474","0.98720455","0.99704762","0.98956842","0.99213182","1.00984737","1.02473000","1.01869545","1.01985909","1.03146500","1.04032273","1.04086190","1.03424000","1.03635000","1.04923000","1.06391500","1.09419091","1.10551053","1.11071429","1.09912857","1.08937143","1.08307143","1.07391818","1.09272500","1.10118095","1.12125455","1.13264737","1.15325238","1.21151905","1.25000526","1.26191364","1.23311429","1.21848500","1.23660455","1.28645909","1.31487000","1.32669524","1.30726667","1.32803500","1.37046667","1.42231500","1.37961000","1.32261818","1.28185714","1.29420952","1.28955909","1.30503000","1.29943636","1.31086667","1.32514500","1.34380000","1.33293500","1.31909048","1.31098947","1.33875217","1.34439474"
"United States dollar, 90-day forward noon rate","1.41761429","1.40655500","1.41423478","1.38209474","1.36539545","1.38059091","1.36341000","1.35731364","1.35349500","1.34796667","1.35364286","1.36994737","1.36669090","1.37539047","1.36479048","1.35757619","1.36683182","1.36310000","1.36629545","1.36761429","1.36403000","1.34390000","1.33013000","1.35382500","1.34069091","1.34734500","1.36355500","1.38593182","1.37180476","1.37528095","1.36965000","1.38321500","1.37975714","1.37985909","1.40677368","1.42196667","1.43722857","1.43159500","1.41330455","1.42709524","1.44253500","1.46289091","1.48525455","1.53385500","1.52167143","1.54509524","1.53876500","1.54127143","1.51918000","1.49744500","1.51769130","1.48641905","1.46067000","1.46769545","1.48693810","1.49033810","1.47416667","1.47356500","1.46393333","1.46961429","1.44593500","1.44809048","1.45752174","1.46531579","1.49216364","1.47362727","1.47457000","1.47926818","1.48309500","1.50884762","1.53890476","1.51955789","1.50225455","1.52133000","1.55778182","1.55747000","1.54294091","1.52682381","1.53264286","1.54219091","1.56996842","1.57330909","1.59346667","1.57838421","1.60123182","1.59679500","1.58825000","1.58333182","1.55259545","1.53537500","1.55008636","1.57255714","1.58042000","1.58234545","1.57700000","1.56493500","1.54690455","1.51845500","1.48320952","1.46596190","1.39192857","1.35978095","1.38846818","1.40202000","1.36893810","1.32730000","1.31814737","1.31820000","1.30066190","1.33319000","1.33210435","1.34572857","1.38141500","1.35998636","1.32378095","1.31335714","1.28964286","1.24871500","1.19740000","1.21961429","1.22522000","1.23904000","1.21501364","1.23449048","1.25347619","1.23772727","1.21983500","1.20095000","1.17468571","1.17442500","1.17794286","1.15800500","1.15440952","1.14611000","1.15443913","1.14089474","1.10734545","1.11089545","1.12593000","1.11508636","1.11313000","1.12550000","1.13305714","1.14996316","1.17282727","1.16756000","1.16511364","1.13126000","1.09201818","1.06279524","1.04840952","1.05652273","1.02435789","0.97462727","0.96690000","1.00256316","1.01179545","1.00099524","1.00393000","1.01513636","1.00030476","1.01775238","1.01369545","1.05544500","1.05847619","1.18165455","1.21841579","1.23414762","1.22670476","1.24498500","1.26315000","1.22304762","1.15021000","1.12591364","1.12169091","1.08799500","1.08160000","1.05482381","1.05950500","1.05449048","1.04303000","1.05697500","1.02310000","1.00527143","1.04014000","1.03859091","1.04382857","1.04299048","1.03521905","1.02026500","1.01490476","1.00972857","0.99580500","0.98952500","0.97859565","0.96026500","0.97018571","0.97891364","0.95743000","0.98485455","1.00452381","1.02191500","1.02786190","1.02583000","1.01530476","0.99856190","0.99585909","0.99460500","1.01194091","1.03005238","1.01598095","0.99415455","0.98030000","0.98925455","0.99904762","0.99148421","0.99409545","1.01183684","1.02682500","1.02079545","1.02205000","1.03376000","1.04267727","1.04316667","1.03656500","1.03872727","1.05166000","1.06629000","1.09656364","1.10786842","1.11312857","1.10153333","1.09178571","1.08549048","1.07632273","1.09511500","1.10357619","1.12387727","1.13516842","1.15562381","1.21363333","1.25139474","1.26353182","1.23462857","1.22013000","1.23832727","1.28757727","1.31536000","1.32710952","1.30792381","1.32839000","1.37037143","1.42209500","1.37949500","1.32245909","1.28180000","1.29419524","1.28940455","1.30484500","1.29897273","1.31018095","1.32426000","1.34259048","1.33135000","1.31779524","1.30996316","1.33712174","1.34267368"
"Belgian franc, noon spot rate, average (Terminated)","0.04481095t","0.04527500t","0.04854870t","0.04843947t","0.04702409t","0.04785864t","0.04767300t","0.04557000t","0.04497600t","0.04626381t","0.04645571t","0.04625211t","0.04546227t","0.04563286t","0.04496286t","0.04396095t","0.04345273t","0.04343450t","0.04425091t","0.04490667t","0.04409650t","0.04292727t","0.04293650t","0.04257850t","0.04075773t","0.03920850t","0.03922400t","0.03947091t","0.03926619t","0.03881714t","0.03718864t","0.03662750t","0.03762619t","0.03826000t","0.03949526t","0.03888000t","0.03842905t","0.03834150t","0.03757727t","0.03823429t","0.03949000t","0.03962727t","0.04016000t","0.04165600t","0.04341238t","0.04570810t","0.04432150t","0.04478571t","0.04366800t","0.04159050t","0.04095478t","0.03944714t","0.03849950t","0.03779136t","0.03828190t","0.03923048t","0.03843524t","0.03920900t","0.03755381t","0.03693333t","0.03638000t","0.03538286t","0.03492348t","0.03440947t","0.03363045t","0.03480364t","0.03438550t","0.03323182t","0.03203900t","0.03196190t","0.03265524t","0.03384211t","0.03494909t","0.03472600t","0.03508818t","0.03447350t","0.03342091t","0.03223571t","0.03268619t","0.03445591t","0.03543737t","0.03525545t","0.03504762t","0.03487947t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Danish krone, noon spot rate, average","0.23437143","0.23648000","0.25009130","0.25335263","0.24725000","0.25185000","0.25164000","0.24164545","0.23893500","0.24511429","0.24650476","0.24542105","0.24162273","0.24266191","0.23928095","0.23404762","0.23141818","0.23176500","0.23637727","0.23938571","0.23570500","0.23063636","0.23039000","0.22924000","0.22040000","0.21209500","0.21220000","0.21379545","0.21283333","0.21034762","0.20154091","0.19855500","0.20400952","0.20729545","0.21420000","0.21058095","0.20815238","0.20760500","0.20333182","0.20683810","0.21374500","0.21454545","0.21732727","0.22553500","0.23507143","0.24803810","0.24056500","0.24285238","0.23671500","0.22568500","0.22225217","0.21403810","0.20902000","0.20513636","0.20750952","0.21278095","0.20860476","0.21279000","0.20370476","0.20026667","0.19716500","0.19170952","0.18916522","0.18631053","0.18188182","0.18819091","0.18598000","0.17976818","0.17316000","0.17310476","0.17668571","0.18303158","0.18882273","0.18768500","0.18963182","0.18629500","0.18069091","0.17445714","0.17713333","0.18669545","0.19202105","0.19120909","0.18990000","0.18901053","0.19016818","0.18701000","0.18725000","0.18841818","0.19110909","0.19703000","0.20661818","0.20642857","0.20808000","0.20840000","0.21178500","0.21387000","0.22026364","0.21942000","0.21457619","0.21333810","0.21560000","0.21261429","0.21112727","0.20931500","0.20679524","0.20840000","0.20684211","0.21684762","0.21966667","0.22555000","0.21866522","0.21611905","0.22248000","0.22183182","0.21816190","0.21521429","0.21165238","0.20968000","0.20932381","0.21952381","0.21572500","0.21676000","0.21545455","0.21472857","0.21404762","0.20248636","0.19731000","0.19850455","0.19316667","0.18971000","0.18663333","0.18473500","0.18806190","0.18376500","0.18659565","0.18823158","0.18989545","0.18910455","0.19191000","0.19194091","0.19032500","0.19099048","0.19648571","0.20428421","0.20493182","0.20547000","0.20770455","0.20572500","0.19862273","0.19201429","0.19375238","0.19360455","0.19156316","0.18626364","0.19051429","0.19580526","0.19969545","0.19771905","0.20864000","0.21408636","0.20850000","0.21211905","0.21385909","0.21093500","0.20340476","0.21045909","0.20847368","0.22326667","0.21778095","0.21379000","0.22135455","0.21692857","0.21120000","0.21200909","0.21221364","0.20847000","0.21182381","0.21000476","0.21230500","0.20666190","0.19995000","0.19417000","0.18653913","0.18110476","0.17543000","0.17049091","0.17922857","0.18015714","0.18172857","0.18974500","0.18530476","0.17891429","0.17827500","0.18089500","0.18358261","0.18572500","0.18620952","0.18861818","0.18290000","0.18916818","0.18505238","0.18805500","0.18673333","0.18118500","0.17576667","0.17748095","0.17653182","0.17563000","0.17377727","0.17346190","0.16729048","0.16529545","0.16910000","0.17172727","0.17162381","0.17393158","0.17690909","0.18065263","0.17813500","0.17797273","0.17766364","0.18250500","0.18245909","0.18584286","0.18529000","0.18960000","0.18986000","0.19550500","0.19965455","0.20243684","0.20577143","0.20330476","0.20047143","0.19741429","0.19483636","0.19510500","0.19064286","0.19091818","0.18983684","0.19108571","0.18905238","0.19042105","0.18301818","0.17856190","0.18202000","0.18605909","0.18960909","0.19635500","0.19965714","0.19672857","0.19081000","0.19991905","0.20693000","0.20507500","0.19741818","0.19543333","0.19674286","0.19471818","0.19391000","0.19572273","0.19743333","0.19616500","0.19467619","0.18908500","0.18865714","0.18779474","0.19246957","0.19375789"
"French franc, noon spot rate, average (Terminated)","0.26704762t","0.26832500t","0.28295217t","0.28384737t","0.27360455t","0.28010909t","0.28175500t","0.27236364t","0.26835000t","0.27264762t","0.27700000t","0.27622631t","0.27288182t","0.27291905t","0.26994762t","0.26618095t","0.26402273t","0.26369500t","0.26922273t","0.27092381t","0.26689500t","0.26154091t","0.26149000t","0.25984500t","0.24906818t","0.23960000t","0.23995000t","0.24178182t","0.24031905t","0.23733810t","0.22753182t","0.22446500t","0.23108571t","0.23530455t","0.24338947t","0.23960952t","0.23678571t","0.23603500t","0.23123636t","0.23536190t","0.24293000t","0.24377727t","0.24701818t","0.25632000t","0.26710476t","0.28130000t","0.27274000t","0.27556667t","0.26854000t","0.25577000t","0.25185652t","0.24258571t","0.23677500t","0.23240455t","0.23542857t","0.24125238t","0.23637619t","0.24113500t","0.23095238t","0.22713333t","0.22373000t","0.21758571t","0.21476957t","0.21160526t","0.20681818t","0.21402273t","0.21147500t","0.20438182t","0.19702000t","0.19655714t","0.20082381t","0.20812632t","0.21494091t","0.21357000t","0.21577727t","0.21199500t","0.20552727t","0.19823810t","0.20101429t","0.21190455t","0.21792105t","0.21680909t","0.21553810t","0.21450000t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"German mark, noon spot rate, average (Terminated)","0.92373810t","0.93365000t","1.00138696t","0.99676316t","0.96753182t","0.98318182t","0.98016500t","0.93687727t","0.92556500t","0.95160476t","0.95514762t","0.95060526t","0.93445001t","0.93850476t","0.92410476t","0.90311429t","0.89333182t","0.89363000t","0.91168636t","0.92533810t","0.90824500t","0.88414091t","0.88486500t","0.87767500t","0.84037727t","0.80886000t","0.80930500t","0.81447273t","0.81042857t","0.80104286t","0.76759091t","0.75654000t","0.77671905t","0.78932727t","0.81517368t","0.80211905t","0.79283810t","0.79130500t","0.77517273t","0.78889048t","0.81454000t","0.81738636t","0.82814091t","0.85920000t","0.89564762t","0.94341429t","0.91460000t","0.92411905t","0.90066000t","0.85781500t","0.84470000t","0.81361429t","0.79406500t","0.77947273t","0.78957619t","0.80915714t","0.79274762t","0.80870500t","0.77456667t","0.76176667t","0.75036500t","0.72979048t","0.72030435t","0.70971053t","0.69365000t","0.71781818t","0.70923500t","0.68543182t","0.66082000t","0.65923810t","0.67351905t","0.69805263t","0.72083636t","0.71623500t","0.72370909t","0.71102500t","0.68930455t","0.66487143t","0.67417619t","0.71069545t","0.73090000t","0.72716364t","0.72285238t","0.71941053t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Italian lira, noon spot rate, average (Terminated)","0.00087738t","0.00086520t","0.00083357t","0.00080400t","0.00082459t","0.00084009t","0.00084575t","0.00084268t","0.00083735t","0.00083805t","0.00084929t","0.00085926t","0.00086300t","0.00087605t","0.00087424t","0.00086852t","0.00087950t","0.00088570t","0.00089723t","0.00090486t","0.00090050t","0.00088650t","0.00088435t","0.00089135t","0.00086055t","0.00081860t","0.00081095t","0.00082291t","0.00082033t","0.00081657t","0.00078882t","0.00077480t","0.00079590t","0.00080591t","0.00083216t","0.00081805t","0.00080571t","0.00080185t","0.00078732t","0.00079881t","0.00082605t","0.00082995t","0.00083995t","0.00087080t","0.00090662t","0.00095362t","0.00092435t","0.00093310t","0.00090975t","0.00086655t","0.00085322t","0.00082190t","0.00080205t","0.00078727t","0.00079757t","0.00081733t","0.00080086t","0.00081690t","0.00078248t","0.00076948t","0.00075785t","0.00073719t","0.00072757t","0.00071674t","0.00070073t","0.00072509t","0.00071650t","0.00069241t","0.00066735t","0.00066586t","0.00068019t","0.00070521t","0.00072814t","0.00072350t","0.00073100t","0.00071820t","0.00069627t","0.00067162t","0.00068100t","0.00071786t","0.00073821t","0.00073455t","0.00073024t","0.00072674t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Japanese yen, noon spot rate, average","0.01417476","0.01427050","0.01556348","0.01644737","0.01603727","0.01627500","0.01557800","0.01429773","0.01344300","0.01334667","0.01328429","0.01345368","0.01293091","0.01301762","0.01289048","0.01268476","0.01287364","0.01253400","0.01254591","0.01271238","0.01245700","0.01201636","0.01191300","0.01195600","0.01144455","0.01101750","0.01117900","0.01109727","0.01160000","0.01210762","0.01194636","0.01180200","0.01147810","0.01145773","0.01126737","0.01100476","0.01113333","0.01140100","0.01097545","0.01084524","0.01071050","0.01044773","0.01056045","0.01062100","0.01131429","0.01280333","0.01279300","0.01317333","0.01340800","0.01285150","0.01270478","0.01242381","0.01199700","0.01216955","0.01247905","0.01319238","0.01382381","0.01394500","0.01402714","0.01435571","0.01374250","0.01325762","0.01374174","0.01390842","0.01381045","0.01391955","0.01365650","0.01372455","0.01391200","0.01394667","0.01413476","0.01357895","0.01287500","0.01309550","0.01282909","0.01258800","0.01267000","0.01246238","0.01229286","0.01270591","0.01321600","0.01293823","0.01300395","0.01238284","0.01206373","0.01194585","0.01211930","0.01209391","0.01226773","0.01242800","0.01311423","0.01317867","0.01301880","0.01273418","0.01292050","0.01278730","0.01297445","0.01266935","0.01243790","0.01216424","0.01179624","0.01142890","0.01164532","0.01177200","0.01187905","0.01207291","0.01202289","0.01218329","0.01219100","0.01246460","0.01224717","0.01246476","0.01230540","0.01240850","0.01207010","0.01190467","0.01169838","0.01146415","0.01143367","0.01173376","0.01185800","0.01180775","0.01155827","0.01153143","0.01177690","0.01140541","0.01092075","0.01088995","0.01058952","0.01025120","0.00996905","0.00979710","0.01002471","0.00974590","0.00986852","0.00977684","0.00992655","0.00971727","0.00975590","0.00964241","0.00952205","0.00951510","0.00969229","0.00983532","0.00976259","0.00971815","0.00996295","0.00953825","0.00906595","0.00868162","0.00865076","0.00907218","0.00891632","0.00841982","0.00871376","0.00892868","0.00938705","0.00932943","0.00994210","0.00987514","0.00958057","0.00951005","0.00947368","0.00963565","0.00993010","0.01187455","0.01258000","0.01352000","0.01360476","0.01341700","0.01292136","0.01238143","0.01191600","0.01166091","0.01190682","0.01147000","0.01185143","0.01167429","0.01189050","0.01173524","0.01145400","0.01172500","0.01127826","0.01075762","0.01130600","0.01142909","0.01191429","0.01220524","0.01224714","0.01245550","0.01226619","0.01209952","0.01202000","0.01196150","0.01196261","0.01151200","0.01193714","0.01214409","0.01205750","0.01276955","0.01305571","0.01330600","0.01322905","0.01315850","0.01316667","0.01269524","0.01205227","0.01222000","0.01267500","0.01296190","0.01284190","0.01260364","0.01252000","0.01249364","0.01229476","0.01182684","0.01113682","0.01085895","0.01081000","0.01042364","0.01011332","0.01060950","0.01043455","0.01064476","0.01042400","0.01059818","0.01047350","0.01029050","0.01054364","0.01082474","0.01085333","0.01072810","0.01070000","0.01061190","0.01055227","0.01061300","0.01025143","0.01037955","0.00973463","0.00966505","0.01024914","0.01052632","0.01048000","0.01031524","0.01008050","0.00999500","0.01043364","0.01069650","0.01104286","0.01088905","0.01082900","0.01126286","0.01203550","0.01204100","0.01171227","0.01170333","0.01188095","0.01224545","0.01252900","0.01284091","0.01288000","0.01275400","0.01237762","0.01149900","0.01148619","0.01161105","0.01185783","0.01220263"
