"REF_DATE","GEO","DGUID","Screened traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Edmonton International, Alberta","","Total screened traffic","Number","223","units","0","v1573797636","52.1","289016","","","","0"
"2019-01","Edmonton International, Alberta","","Total passengers","Number","223","units","0","v1577191373","52.6","281580","","","","0"
"2019-01","Edmonton International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797637","52.2","203517","","","","0"
"2019-01","Edmonton International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797638","52.3","48871","","","","0"
"2019-01","Edmonton International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797639","52.4","29192","","","","0"
"2019-01","Edmonton International, Alberta","","Non-passengers","Number","223","units","0","v1573797640","52.5","7436","","","","0"
"2019-01","Vancouver International, British Columbia","","Total screened traffic","Number","223","units","0","v1573797661","169.1","832669","","","","0"
"2019-01","Vancouver International, British Columbia","","Total passengers","Number","223","units","0","v1577191378","169.6","817913","","","","0"
"2019-01","Vancouver International, British Columbia","","Domestic sector passengers","Number","223","units","0","v1573797662","169.2","342262","","","","0"
"2019-01","Vancouver International, British Columbia","","Transborder sector passengers","Number","223","units","0","v1573797663","169.3","258783","","","","0"
"2019-01","Vancouver International, British Columbia","","Other International sector passengers","Number","223","units","0","v1573797664","169.4","216868","","","","0"
"2019-01","Vancouver International, British Columbia","","Non-passengers","Number","223","units","0","v1573797665","169.5","14756","","","","0"
"2019-02","Total of eight largest airports, Canada","","Total screened traffic","Number","223","units","0","v1573797666","100000.1","4161705","","","","0"
"2019-02","Total of eight largest airports, Canada","","Total passengers","Number","223","units","0","v1577191379","100000.6","4102158","","","","0"
"2019-02","Total of eight largest airports, Canada","","Domestic sector passengers","Number","223","units","0","v1573797667","100000.2","1706627","","","","0"
"2019-02","Total of eight largest airports, Canada","","Transborder sector passengers","Number","223","units","0","v1573797668","100000.3","1192819","","","","0"
"2019-02","Total of eight largest airports, Canada","","Other International sector passengers","Number","223","units","0","v1573797669","100000.4","1202712","","","","0"
"2019-02","Total of eight largest airports, Canada","","Non-passengers","Number","223","units","0","v1573797670","100000.5","59547","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Total screened traffic","Number","223","units","0","v1573797631","21.1","113150","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Total passengers","Number","223","units","0","v1577191372","21.6","109341","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Domestic sector passengers","Number","223","units","0","v1573797632","21.2","78720","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Transborder sector passengers","Number","223","units","0","v1573797633","21.3","14306","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Other International sector passengers","Number","223","units","0","v1573797634","21.4","16315","","","","0"
"2019-02","Halifax/Robert L Stanfield International, Nova Scotia","","Non-passengers","Number","223","units","0","v1573797635","21.5","3809","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Total screened traffic","Number","223","units","0","v1573797646","87.1","657934","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Total passengers","Number","223","units","0","v1577191375","87.6","651064","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Domestic sector passengers","Number","223","units","0","v1573797647","87.2","190415","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Transborder sector passengers","Number","223","units","0","v1573797648","87.3","173893","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Other International sector passengers","Number","223","units","0","v1573797649","87.4","286756","","","","0"
"2019-02","Montréal/Pierre Elliott Trudeau International, Quebec","","Non-passengers","Number","223","units","0","v1573797650","87.5","6870","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Total screened traffic","Number","223","units","0","v1573797641","76.1","204093","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Total passengers","Number","223","units","0","v1577191374","76.6","199974","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797642","76.2","134319","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797643","76.3","34856","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797644","76.4","30799","","","","0"
"2019-02","Ottawa/Macdonald-Cartier International, Ontario","","Non-passengers","Number","223","units","0","v1573797645","76.5","4119","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Total screened traffic","Number","223","units","0","v1573797651","161.1","1534871","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Total passengers","Number","223","units","0","v1577191376","161.6","1513711","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797652","161.2","422509","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797653","161.3","525196","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797654","161.4","566006","","","","0"
"2019-02","Toronto/Lester B Pearson International, Ontario","","Non-passengers","Number","223","units","0","v1573797655","161.5","21160","","","","0"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Total screened traffic","Number","223","units","0","v1573797656","163.1","165360","","","","0"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Total passengers","Number","223","units","0","v1577191377","163.6","163869","","","","0"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Domestic sector passengers","Number","223","units","0","v1573797657","163.2","116544","","","","0"
