OccID,OccNo,AcID,SurvivableEnum_DisplayEng
158042,A24P0009,71030,Yes
158042,A24P0009,71030,Yes
158028,A24P0007,69188,Yes
158017,A24W0004,70973,Yes
158014,A24W0003,71017,Yes
158006,A24Q0002,67837,Yes
157997,A24P0002,70999,No
157996,A24P0001,71004,Yes
157988,A24Q0001,64830,Yes
157981,A23Q0169,64617,Yes
157978,A23P0161,67631,Yes
157977,A23P0160,71002,Yes
157976,A23P0159,70983,Yes
157974,A23P0158,71003,Yes
157970,A23P0157,63163,
157969,A23W0157,71007,Yes
157965,A23P0156,70988,Yes
157950,A23P0155,71005,Yes
157949,A23P0154,64205,Yes
157946,A23W0154,63280,Yes
157944,A23P0153,62001,Yes
157943,A23W0153,61499,Yes
157939,A23O0162,65230,Yes
157924,A23P0151,24247,Yes
157916,A23Q0160,58922,Yes
157915,A23P0150,70954,Yes
157913,A23Q0159,70951,Yes
157912,A23P0149,70880,Yes
157911,A23P0148,70957,Yes
157911,A23P0148,45951,Yes
157897,A23P0147,70955,Yes
157896,A23P0146,67631,Yes
157894,A23P0145,70953,Yes
157891,A23W0144,70978,Yes
157880,A23P0144,66791,Yes
157878,A23W0143,54884,Yes
157860,A23P0143,70915,No
157844,A23P0141,40409,Yes
157824,A23Q0152,69531,Yes
157820,A23W0133,6867,Yes
157786,A23Q0144,70861,Yes
157784,A23W0132,70864,Yes
157781,A23Q0143,54815,Yes
157778,A23Q0142,70854,Yes
157776,A23P0138,70932,Yes
157776,A23P0138,70932,Yes
157775,A23P0137,69183,Yes
157766,A23W0131,70844,Yes
157760,A23W0129,62179,Yes
157753,A23P0135,40409,Yes
157745,A23P0134,70834,No
157734,A23O0139,64830,Yes
157732,A23P0132,69576,Yes
157720,A23Q0136,70823,Yes
157719,A23Q0135,70821,Yes
157717,A23P0131,70817,Yes
157715,A23Q0133,70814,Yes
157705,A23Q0132,11408,Yes
157703,A23Q0131,57531,Yes
157700,A23P0130,70881,No
157699,A23W0122,69429,Yes
157697,A23Q0129,70811,Yes
157687,A23P0129,70880,Yes
157687,A23P0129,70880,Yes
157676,A23W0118,70804,Yes
157669,A23P0128,70862,Yes
157668,A23P0127,70793,Yes
157663,A23P0125,70780,Yes
157653,A23Q0122,66479,Yes
157653,A23Q0122,70761,Yes
157647,A23Q0121,5258,Yes
157646,A23Q0120,70758,Yes
157644,A23Q0119,70790,Yes
157642,A23P0123,70784,Yes
157642,A23P0123,70784,Yes
157642,A23P0123,70784,Yes
157642,A23P0123,70784,Yes
157642,A23P0123,70784,Yes
157640,A23Q0118,28693,Yes
157632,A23Q0117,55976,Yes
157620,A23W0116,70741,Yes
157618,A23C0082,63435,Yes
157618,A23C0082,63435,Yes
157616,A23W0115,70739,Yes
157607,A23P0119,61180,Yes
157604,A23W0112,64378,Yes
157602,A23Q0115,49032,Yes
157601,A23Q0114,60046,Yes
157590,A23O0122,60079,Yes
157581,A23P0118,69358,Yes
157559,A23P0116,70698,Yes
157554,A23P0115,70696,Yes
157554,A23P0115,70695,Yes
157553,A23P0114,70635,Yes
157553,A23P0114,38988,Yes
157548,A23W0103,70913,No
157545,A23P0113,70750,Yes
157545,A23P0113,70750,Yes
157545,A23P0113,70750,Yes
157545,A23P0113,70750,Yes
157545,A23P0113,70750,Yes
157544,A23P0112,70730,Yes
157544,A23P0112,70730,Yes
157544,A23P0112,70730,Yes
157543,A23P0111,70725,No
157539,A23P0110,70683,Yes
157535,A23W0100,70700,Yes
157515,A23P0108,70772,Yes
157508,A23C0066,41189,Yes
157505,A23P0107,68922,Yes
157504,A23P0106,70714,Yes
157502,A23Q0100,64389,Yes
157501,A23Q0099,70713,Yes
157498,A23W0098,67486,Yes
157494,A23Q0098,70659,No
157493,A23Q0097,70660,Yes
157492,A23Q0096,43018,Yes
157491,A23Q0095,67627,Yes
157490,A23Q0094,62235,Yes
157486,A23P0105,70733,Yes
157486,A23P0105,70733,Yes
157482,A23P0104,70649,Yes
157482,A23P0104,70649,Yes
157482,A23P0104,70649,Yes
157479,A23P0103,70967,Yes
157479,A23P0103,70967,Yes
157478,A23W0096,70651,No
157477,A23P0102,70265,Yes
157476,A23P0101,70697,Yes
157474,A23W0095,70648,Yes
157468,A23P0100,58233,Yes
157467,A23P0099,70723,Yes
157465,A23P0098,70719,Yes
157464,A23W0094,70639,Yes
157461,A23P0097,70642,Yes
157454,A23O0096,51488,Yes
157449,A23Q0092,27229,Yes
157448,A23P0096,70662,No
157447,A23Q0091,70632,Yes
157446,A23P0095,41258,Yes
157446,A23P0095,41258,Yes
157446,A23P0095,41258,Yes
157446,A23P0095,41258,Yes
157446,A23P0095,41258,Yes
157446,A23P0095,41258,Yes
157440,A23Q0090,44368,Yes
157438,A23W0093,70623,Yes
157433,A23Q0088,70620,Yes
157432,A23Q0087,70626,Yes
157427,A23P0092,24608,Yes
157427,A23P0092,24608,Yes
157427,A23P0092,24608,Yes
157420,A23W0091,70614,No
157419,A23P0091,70618,Yes
157418,A23P0090,64576,Yes
157414,A23C0057,70678,Yes
157403,A23P0088,70599,Yes
157403,A23P0088,70599,Yes
157403,A23P0088,70599,Yes
157400,A23P0087,70591,Yes
157400,A23P0087,70591,Yes
157400,A23P0087,70591,Yes
157400,A23P0087,70591,Yes
157400,A23P0087,70591,Yes
157396,A23P0086,43348,Yes
157395,A23P0085,70652,Yes
157394,A23P0084,15773,Yes
157378,A23W0082,70576,No
157377,A23P0082,64718,Yes
157363,A23W0081,70621,Yes
157357,A23W0080,64490,Yes
157356,A23W0079,59328,Yes
157354,A23P0080,69511,Yes
157352,A23P0079,45076,Yes
157347,A23P0078,70568,Yes
157346,A23P0077,70570,Yes
157344,A23P0076,69476,Yes
157344,A23P0076,62567,Yes
157336,A23P0074,70587,Yes
157335,A23P0073,28809,Yes
157333,A23P0072,70549,Yes
157324,A23P0071,51750,Yes
157324,A23P0071,51750,Yes
157319,A23P0070,70565,Yes
157305,A23P0069,55590,Yes
157299,A23C0048,70544,
157289,A23P0067,36759,Yes
157285,A23P0066,70161,Yes
157281,A23Q0070,70512,Yes
157280,A23Q0069,53080,Yes
157280,A23Q0069,70513,Yes
157278,A23P0064,67259,Yes
157275,A23P0063,70634,No
157274,A23P0062,70525,Yes
157270,A23O0076,70509,Yes
157267,A23Q0067,70542,Yes
157266,A23Q0066,70508,Yes
157261,A23O0075,70534,Yes
157260,A23O0074,70533,Yes
157255,A23P0061,70497,Yes
157255,A23P0061,70497,Yes
157255,A23P0061,70497,Yes
157255,A23P0061,70497,Yes
157255,A23P0061,70497,Yes
157246,A23Q0064,9592,Yes
157228,A23P0056,70481,Yes
157225,A23Q0061,69605,Yes
157224,A23P0055,70478,Yes
157214,A23P0054,70470,Yes
157200,A23P0053,70486,Yes
157199,A23P0052,70456,Yes
157196,A23W0066,70049,Yes
157189,A23Q0060,70451,Yes
157186,A23W0065,65670,Yes
157181,A23W0064,70436,Yes
157181,A23W0064,67033,Yes
157177,A23P0051,70428,Yes
157172,A23P0050,69261,Yes
157171,A23Q0054,70421,Yes
157170,A23W0063,70420,Yes
157155,A23P0049,48400,Yes
157147,A23P0047,70430,Yes
157146,A23P0046,64500,Yes
157141,A23W0057,70449,Yes
157138,A23W0056,70404,
157137,A23W0055,63535,Yes
157136,A23W0054,70195,Yes
157133,A23W0053,65515,Yes
157129,A23P0045,67631,Yes
157126,A23P0044,70445,Yes
157116,A23P0043,70440,Yes
157115,A23P0042,69422,Yes
157115,A23P0042,24692,Yes
157114,A23P0041,60002,Yes
157099,A23Q0049,7977,Yes
157096,A23Q0048,69978,Yes
157095,A23Q0047,61026,Yes
157091,A23P0040,70378,Unknown
157089,A23Q0046,25710,Yes
157088,A23W0048,70385,Yes
157078,A23P0039,70368,Yes
157077,A23P0038,67631,Yes
157064,A23P0037,70354,Yes
157064,A23P0037,70354,Yes
157062,A23P0036,70380,Yes
157050,A23P0035,70359,Yes
157049,A23W0042,70083,Yes
157047,A23Q0041,70374,Unknown
157042,A23P0034,70441,Yes
157041,A23P0033,42033,Yes
157041,A23P0033,70361,Yes
157040,A23P0032,70425,Yes
157039,A23P0031,42110,Yes
157039,A23P0031,62924,Yes
157036,A23P0030,69139,Yes
157036,A23P0030,70350,Yes
157035,A23W0041,62763,Yes
157026,A23P0029,64169,Yes
157025,A23W0040,65581,Yes
157025,A23W0040,65581,Yes
157025,A23W0040,65581,Yes
157024,A23Q0040,64925,Yes
157019,A23W0039,750,Yes
157018,A23W0038,65297,Yes
157008,A23W0035,70319,Yes
157007,A23Q0039,70321,Yes
157007,A23Q0039,67763,Yes
157005,A23W0034,66628,Yes
157001,A23W0031,70348,Yes
156993,A23W0030,48953,Yes
156970,A23P0028,70346,Yes
156970,A23P0028,69598,Yes
156968,A23C0015,70294,Yes
156936,A23W0025,64357,Yes
156934,A23Q0032,70271,Yes
156930,A23Q0031,11408,Yes
156929,A23W0024,70275,Yes
156925,A23P0026,70406,Yes
156921,A23W0023,63014,Yes
156920,A23P0024,70262,Yes
156920,A23P0024,70262,Yes
156920,A23P0024,70262,Yes
156915,A23P0023,64081,Yes
156912,A23W0022,70257,Yes
156907,A23Q0030,1190,Yes
156906,A23Q0029,60742,Yes
156904,A23P0021,70280,Yes
156902,A23Q0028,64300,Yes
156897,A23P0020,69317,Yes
156890,A23P0019,63547,
156888,A23W0019,69287,Yes
156888,A23W0019,59823,Yes
156882,A23O0027,64475,Yes
156881,A23W0017,70241,Yes
156880,A23F0062,46971,Yes
156879,A23W0016,70245,Yes
156878,A23P0018,69185,Yes
156863,A23W0015,62030,Yes
156847,A23O0022,8726,Yes
156845,A23W0014,70220,Yes
156839,A23O0021,70260,Yes
156828,A23P0015,70216,Yes
156822,A23P0014,57280,Yes
156821,A23P0013,38882,Yes
156816,A23P0012,64702,Yes
156815,A23P0011,70265,Yes
156796,A23W0012,70195,Yes
156792,A23P0010,70199,No
156786,A23W0011,64448,Yes
156785,A22Q0167,69427,Yes
156784,A23Q0014,70186,Yes
156784,A23Q0014,70187,Yes
156782,A23Q0013,11408,Yes
156781,A23Q0012,70185,Yes
156778,A23W0010,63163,Yes
156770,A23W0007,67394,Yes
156769,A23P0009,14340,Yes
156762,A23P0008,70191,Yes
156750,A23P0007,70161,Yes
156736,A23W0002,24692,Yes
156732,A23W0001,52949,Yes
156719,A23P0006,70135,Yes
156713,A22P0131,70136,Yes
156709,A23Q0002,70138,Unknown
156705,A23P0004,66342,Yes
156704,A23P0003,70927,Yes
156703,A23P0002,70114,Yes
156697,A23P0001,70132,Yes
156688,A23Q0001,70123,Yes
156684,A22Q0166,69840,Yes
156683,A22Q0165,60616,Yes
156681,A22P0129,66878,Yes
156680,A19P0190,70181,Yes
156678,A22P0128,68891,Yes
156653,A22P0124,60572,Yes
156631,A22C0115,70092,Yes
156629,A22Q0157,66634,Yes
156627,A22Q0156,61179,Yes
156626,A22Q0155,64721,Yes
156616,A22Q0153,64475,Yes
156615,A22Q0152,69159,Yes
156608,A22P0118,15325,Yes
156602,A22W0110,68866,Yes
156596,A22O0165,70084,Yes
156580,A22P0117,70083,Yes
156580,A22P0117,69962,Yes
156573,A22W0109,70058,Yes
156565,A22P0115,63560,Unknown
156563,A22W0108,70070,Yes
156559,A22P0114,69317,Yes
156556,A22O0159,68143,Yes
156534,A22Q0132,64721,
156519,A22P0111,70012,No
156488,A22P0107,67869,Yes
156487,A22P0106,69422,Yes
156484,A22P0105,69995,Yes
156482,A22P0104,69504,Yes
156472,A22P0101,24247,Yes
156464,A22P0100,69999,Yes
156453,A22P0099,69971,Yes
156450,A22P0097,15006,Yes
156450,A22P0097,69575,Yes
156449,A22Q0126,69965,Yes
156447,A22C0093,58758,
156446,A22Q0125,69972,Yes
156444,A22W0094,69963,Yes
156444,A22W0094,69963,Yes
156429,A22O0146,69954,Yes
156421,A22P0096,32222,Yes
156417,A22P0094,34904,Yes
156414,A22Q0123,62965,Yes
156409,A22Q0121,69937,Yes
156399,A22Q0120,69936,Unknown
156381,A22P0092,65145,Yes
156373,A22W0084,16407,Yes
156368,A22Q0116,69913,Unknown
156363,A22W0081,69906,Yes
156363,A22W0081,69906,Yes
156357,A22O0140,69915,Unknown
156354,A22P0089,69898,Yes
156340,A22P0087,69941,Yes
156337,A22P0085,66586,Yes
156323,A22P0084,67732,Yes
156321,A22W0078,69872,No
156314,A22P0083,69397,Yes
156313,A22W0077,69860,Yes
156313,A22W0077,69860,Yes
156312,A22P0082,65670,Yes
156310,A22P0081,65838,Yes
156302,A22Q0110,69854,Yes
156297,A22Q0109,69838,Yes
156297,A22Q0109,69840,Yes
156286,A22P0079,47632,Yes
156286,A22P0079,47632,Yes
156281,A22Q0107,69841,Yes
156256,A22F0273,68711,Yes
156235,A22P0074,69825,Yes
156235,A22P0074,69825,Yes
156235,A22P0074,69825,Yes
156211,A22O0118,69781,No
156208,A22W0070,58307,Yes
156182,A22P0070,68157,Yes
156172,A22P0069,69797,Yes
156151,A22P0066,62001,Yes
156151,A22P0066,62001,Yes
156148,A22Q0094,69761,Yes
156146,A22P0065,69777,Yes
156145,A22P0064,69757,Yes
156143,A22Q0093,69733,Yes
156143,A22Q0093,69732,Yes
156139,A22P0063,50108,Yes
156132,A22Q0092,69724,Yes
156128,A22Q0091,69719,Yes
156123,A22P0061,21746,Yes
156123,A22P0061,21746,Yes
156121,A22P0059,69796,Yes
156121,A22P0059,50064,Yes
156119,A22W0060,69714,Yes
156114,A22P0058,31576,Yes
156113,A22Q0089,69707,Yes
156113,A22Q0089,69708,Yes
156109,A22Q0088,69701,Yes
156109,A22Q0088,45335,Yes
156104,A22Q0087,44638,Yes
156101,A22Q0086,69705,Yes
156093,A22Q0084,69737,No
156091,A22Q0082,39788,Yes
156086,A22P0057,69764,
156082,A22W0058,69680,Yes
156068,A22W0057,69688,
156066,A22W0055,69696,Yes
156065,A22W0054,69696,Yes
156006,A22Q0074,69637,Yes
155992,A22P0050,69627,Yes
155980,A22P0049,69651,Yes
155966,A22P0048,69650,Yes
155960,A22P0047,65094,Yes
155949,A22P0045,69631,Yes
155896,A22Q0059,69550,Yes
155885,A22C0035,69542,No
155873,A22P0041,54390,Yes
155870,A22F0146,49461,Yes
155855,A22P0038,69422,Yes
155848,A22P0037,69503,Yes
155846,A22W0035,69505,Yes
155845,A22P0035,69511,Yes
155842,A22Q0052,69512,Yes
155839,A22C0031,41189,Yes
155836,A22Q0049,20646,Yes
155817,A22Q0048,69485,Yes
