REF_DATE,GEO,Screened traffic,VALUE
Apr-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,37137
Apr-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,23672
Apr-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,5514
Apr-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,7951
Apr-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,1609
Apr-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,5888
Apr-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,4061
Apr-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,4026
Apr-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,35
Apr-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1827
Apr-20,"Calgary International, Alberta",Total screened traffic,15692
Apr-20,"Calgary International, Alberta",Total passengers,15268
Apr-20,"Calgary International, Alberta",Domestic sector passengers,14177
Apr-20,"Calgary International, Alberta",Transborder sector passengers,710
Apr-20,"Calgary International, Alberta",Other International sector passengers,381
Apr-20,"Calgary International, Alberta",Non-passengers,424
Apr-20,"Edmonton International, Alberta",Total screened traffic,10115
Apr-20,"Edmonton International, Alberta",Total passengers,9685
Apr-20,"Edmonton International, Alberta",Domestic sector passengers,9510
Apr-20,"Edmonton International, Alberta",Transborder sector passengers,175
Apr-20,"Edmonton International, Alberta",Non-passengers,430
Apr-20,"Vancouver International, British Columbia",Total screened traffic,28991
Apr-20,"Vancouver International, British Columbia",Total passengers,27814
Apr-20,"Vancouver International, British Columbia",Domestic sector passengers,15411
Apr-20,"Vancouver International, British Columbia",Transborder sector passengers,2809
Apr-20,"Vancouver International, British Columbia",Other International sector passengers,9594
Apr-20,"Vancouver International, British Columbia",Non-passengers,1177
May-20,"Total of eight largest airports, Canada",Total screened traffic,161137
May-20,"Total of eight largest airports, Canada",Total passengers,151046
May-20,"Total of eight largest airports, Canada",Domestic sector passengers,110271
May-20,"Total of eight largest airports, Canada",Transborder sector passengers,11097
May-20,"Total of eight largest airports, Canada",Other International sector passengers,29678
May-20,"Total of eight largest airports, Canada",Non-passengers,10091
May-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,5500
May-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,5443
May-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,5443
May-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,57
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,17057
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,16413
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,8543
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,1429
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,6441
May-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,644
May-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,8705
May-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,4671
May-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,4362
May-20,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,309
May-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,4034
May-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,52645
May-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,50839
May-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,33698
May-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,4979
May-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,12162
May-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,1806
May-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,6653
May-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,5379
May-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,5289
May-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,90
May-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1274
May-20,"Calgary International, Alberta",Total screened traffic,20458
May-20,"Calgary International, Alberta",Total passengers,20141
May-20,"Calgary International, Alberta",Domestic sector passengers,18832
May-20,"Calgary International, Alberta",Transborder sector passengers,1309
May-20,"Calgary International, Alberta",Non-passengers,317
May-20,"Edmonton International, Alberta",Total screened traffic,13580
May-20,"Edmonton International, Alberta",Total passengers,13110
May-20,"Edmonton International, Alberta",Domestic sector passengers,12909
May-20,"Edmonton International, Alberta",Transborder sector passengers,201
May-20,"Edmonton International, Alberta",Non-passengers,470
May-20,"Vancouver International, British Columbia",Total screened traffic,36539
May-20,"Vancouver International, British Columbia",Total passengers,35050
May-20,"Vancouver International, British Columbia",Domestic sector passengers,21195
May-20,"Vancouver International, British Columbia",Transborder sector passengers,2780
May-20,"Vancouver International, British Columbia",Other International sector passengers,11075
May-20,"Vancouver International, British Columbia",Non-passengers,1489
Jun-20,"Total of eight largest airports, Canada",Total screened traffic,321083
Jun-20,"Total of eight largest airports, Canada",Total passengers,308692
Jun-20,"Total of eight largest airports, Canada",Domestic sector passengers,232582
Jun-20,"Total of eight largest airports, Canada",Transborder sector passengers,25596
Jun-20,"Total of eight largest airports, Canada",Other International sector passengers,50514
Jun-20,"Total of eight largest airports, Canada",Non-passengers,12391
Jun-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,9211
Jun-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,9114
Jun-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,9114
Jun-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,97
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,36072
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,34882
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,19371
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,3512
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,11999
Jun-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1190
Jun-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,14134
Jun-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,10333
Jun-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,10183
Jun-20,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,150
Jun-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3801
Jun-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,102951
Jun-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,100758
Jun-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,65073
Jun-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,12347
Jun-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,23338
Jun-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,2193
Jun-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,14038
Jun-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,11421
Jun-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,11137
Jun-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,284
Jun-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,2617
Jun-20,"Calgary International, Alberta",Total screened traffic,43598
Jun-20,"Calgary International, Alberta",Total passengers,43165
Jun-20,"Calgary International, Alberta",Domestic sector passengers,40952
Jun-20,"Calgary International, Alberta",Transborder sector passengers,2213
Jun-20,"Calgary International, Alberta",Non-passengers,433
Jun-20,"Edmonton International, Alberta",Total screened traffic,27980
Jun-20,"Edmonton International, Alberta",Total passengers,27461
Jun-20,"Edmonton International, Alberta",Domestic sector passengers,27009
Jun-20,"Edmonton International, Alberta",Transborder sector passengers,452
Jun-20,"Edmonton International, Alberta",Non-passengers,519
Jun-20,"Vancouver International, British Columbia",Total screened traffic,73099
Jun-20,"Vancouver International, British Columbia",Total passengers,71558
Jun-20,"Vancouver International, British Columbia",Domestic sector passengers,49743
Jun-20,"Vancouver International, British Columbia",Transborder sector passengers,6638
Jun-20,"Vancouver International, British Columbia",Other International sector passengers,15177
Jun-20,"Vancouver International, British Columbia",Non-passengers,1541
Jul-20,"Total of eight largest airports, Canada",Total screened traffic,596359
Jul-20,"Total of eight largest airports, Canada",Total passengers,576377
Jul-20,"Total of eight largest airports, Canada",Domestic sector passengers,437581
Jul-20,"Total of eight largest airports, Canada",Transborder sector passengers,38759
Jul-20,"Total of eight largest airports, Canada",Other International sector passengers,100037
Jul-20,"Total of eight largest airports, Canada",Non-passengers,19982
Jul-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,18117
Jul-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,17922
Jul-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,17922
Jul-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,195
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,79470
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,77641
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,41079
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,5229
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,31333
Jul-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1829
Jul-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,27864
Jul-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,22014
Jul-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,22014
Jul-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,5850
Jul-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,179352
Jul-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,175271
Jul-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,104923
Jul-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,20066
Jul-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,50282
Jul-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,4081
Jul-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,28947
Jul-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,25051
Jul-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,24634
Jul-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,417
Jul-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,3896
Jul-20,"Calgary International, Alberta",Total screened traffic,88988
Jul-20,"Calgary International, Alberta",Total passengers,88190
Jul-20,"Calgary International, Alberta",Domestic sector passengers,83145
Jul-20,"Calgary International, Alberta",Transborder sector passengers,4253
Jul-20,"Calgary International, Alberta",Other International sector passengers,792
Jul-20,"Calgary International, Alberta",Non-passengers,798
Jul-20,"Edmonton International, Alberta",Total screened traffic,55441
Jul-20,"Edmonton International, Alberta",Total passengers,55037
Jul-20,"Edmonton International, Alberta",Domestic sector passengers,54913
Jul-20,"Edmonton International, Alberta",Transborder sector passengers,124
Jul-20,"Edmonton International, Alberta",Non-passengers,404
Jul-20,"Vancouver International, British Columbia",Total screened traffic,118180
Jul-20,"Vancouver International, British Columbia",Total passengers,115251
Jul-20,"Vancouver International, British Columbia",Domestic sector passengers,88951
Jul-20,"Vancouver International, British Columbia",Transborder sector passengers,8670
Jul-20,"Vancouver International, British Columbia",Other International sector passengers,17630
Jul-20,"Vancouver International, British Columbia",Non-passengers,2929
Aug-20,"Total of eight largest airports, Canada",Total screened traffic,768115
Aug-20,"Total of eight largest airports, Canada",Total passengers,748955
Aug-20,"Total of eight largest airports, Canada",Domestic sector passengers,592318
Aug-20,"Total of eight largest airports, Canada",Transborder sector passengers,49511
Aug-20,"Total of eight largest airports, Canada",Other International sector passengers,107126
Aug-20,"Total of eight largest airports, Canada",Non-passengers,19160
Aug-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,25104
Aug-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,24855
Aug-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,24855
Aug-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,249
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,95938
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,94020
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,57797
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,6531
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,29692
Aug-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1918
Aug-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,33769
Aug-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,28663
Aug-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,28663
Aug-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,5106
Aug-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,235566
Aug-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,232347
Aug-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,150549
Aug-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,26595
Aug-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,55203
Aug-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,3219
Aug-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,34731
Aug-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,30872
Aug-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,30378
Aug-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,494
Aug-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,3859
Aug-20,"Calgary International, Alberta",Total screened traffic,117562
Aug-20,"Calgary International, Alberta",Total passengers,116530
Aug-20,"Calgary International, Alberta",Domestic sector passengers,109397
Aug-20,"Calgary International, Alberta",Transborder sector passengers,5425
Aug-20,"Calgary International, Alberta",Other International sector passengers,1708
Aug-20,"Calgary International, Alberta",Non-passengers,1032
Aug-20,"Edmonton International, Alberta",Total screened traffic,65962
Aug-20,"Edmonton International, Alberta",Total passengers,65461
Aug-20,"Edmonton International, Alberta",Domestic sector passengers,65461
Aug-20,"Edmonton International, Alberta",Non-passengers,501
Aug-20,"Vancouver International, British Columbia",Total screened traffic,159483
Aug-20,"Vancouver International, British Columbia",Total passengers,156207
Aug-20,"Vancouver International, British Columbia",Domestic sector passengers,125218
Aug-20,"Vancouver International, British Columbia",Transborder sector passengers,10466
Aug-20,"Vancouver International, British Columbia",Other International sector passengers,20523
Aug-20,"Vancouver International, British Columbia",Non-passengers,3276
Sep-20,"Total of eight largest airports, Canada",Total screened traffic,660617
Sep-20,"Total of eight largest airports, Canada",Total passengers,642176
Sep-20,"Total of eight largest airports, Canada",Domestic sector passengers,493602
Sep-20,"Total of eight largest airports, Canada",Transborder sector passengers,49681
Sep-20,"Total of eight largest airports, Canada",Other International sector passengers,98893
Sep-20,"Total of eight largest airports, Canada",Non-passengers,18441
Sep-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,19765
Sep-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,19556
Sep-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,19556
Sep-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,209
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,81217
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,79516
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,47400
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,7022
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,25094
Sep-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1701
Sep-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,27099
Sep-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,21577
Sep-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,21577
Sep-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,5522
Sep-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,203342
Sep-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,200416
Sep-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,124435
Sep-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,25533
Sep-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,50448
Sep-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,2926
Sep-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,28977
Sep-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,25372
Sep-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,24776
Sep-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,596
Sep-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,3605
Sep-20,"Calgary International, Alberta",Total screened traffic,104434
Sep-20,"Calgary International, Alberta",Total passengers,103455
Sep-20,"Calgary International, Alberta",Domestic sector passengers,96119
Sep-20,"Calgary International, Alberta",Transborder sector passengers,5342
Sep-20,"Calgary International, Alberta",Other International sector passengers,1994
Sep-20,"Calgary International, Alberta",Non-passengers,979
Sep-20,"Edmonton International, Alberta",Total screened traffic,56712
Sep-20,"Edmonton International, Alberta",Total passengers,56238
Sep-20,"Edmonton International, Alberta",Domestic sector passengers,56148
Sep-20,"Edmonton International, Alberta",Transborder sector passengers,90
Sep-20,"Edmonton International, Alberta",Non-passengers,474
Sep-20,"Vancouver International, British Columbia",Total screened traffic,139071
Sep-20,"Vancouver International, British Columbia",Total passengers,136046
Sep-20,"Vancouver International, British Columbia",Domestic sector passengers,103591
Sep-20,"Vancouver International, British Columbia",Transborder sector passengers,11098
Sep-20,"Vancouver International, British Columbia",Other International sector passengers,21357
Sep-20,"Vancouver International, British Columbia",Non-passengers,3025
Oct-20,"Total of eight largest airports, Canada",Total screened traffic,625999
Oct-20,"Total of eight largest airports, Canada",Total passengers,611616
Oct-20,"Total of eight largest airports, Canada",Domestic sector passengers,441296
Oct-20,"Total of eight largest airports, Canada",Transborder sector passengers,65049
Oct-20,"Total of eight largest airports, Canada",Other International sector passengers,105271
Oct-20,"Total of eight largest airports, Canada",Non-passengers,14383
Oct-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,17839
Oct-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,17618
Oct-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,17618
Oct-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,221
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,73857
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,72403
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,36744
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,9647
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,26012
Oct-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1454
Oct-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,23772
Oct-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,19889
Oct-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,19889
Oct-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3883
Oct-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,196635
Oct-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,193642
Oct-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,104925
Oct-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,31569
Oct-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,57148
Oct-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,2993
Oct-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,26372
Oct-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,24985
Oct-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,24324
Oct-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,661
Oct-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1387
Oct-20,"Calgary International, Alberta",Total screened traffic,103956
Oct-20,"Calgary International, Alberta",Total passengers,102782
Oct-20,"Calgary International, Alberta",Domestic sector passengers,90995
Oct-20,"Calgary International, Alberta",Transborder sector passengers,8814
Oct-20,"Calgary International, Alberta",Other International sector passengers,2973
Oct-20,"Calgary International, Alberta",Non-passengers,1174
Oct-20,"Edmonton International, Alberta",Total screened traffic,57454
Oct-20,"Edmonton International, Alberta",Total passengers,57057
Oct-20,"Edmonton International, Alberta",Domestic sector passengers,56620
Oct-20,"Edmonton International, Alberta",Transborder sector passengers,146
Oct-20,"Edmonton International, Alberta",Other International sector passengers,291
Oct-20,"Edmonton International, Alberta",Non-passengers,397
Oct-20,"Vancouver International, British Columbia",Total screened traffic,126114
Oct-20,"Vancouver International, British Columbia",Total passengers,123240
Oct-20,"Vancouver International, British Columbia",Domestic sector passengers,90181
Oct-20,"Vancouver International, British Columbia",Transborder sector passengers,14212
Oct-20,"Vancouver International, British Columbia",Other International sector passengers,18847
Oct-20,"Vancouver International, British Columbia",Non-passengers,2874
Nov-20,"Total of eight largest airports, Canada",Total screened traffic,576165
Nov-20,"Total of eight largest airports, Canada",Total passengers,561155
Nov-20,"Total of eight largest airports, Canada",Domestic sector passengers,362652
Nov-20,"Total of eight largest airports, Canada",Transborder sector passengers,78170
Nov-20,"Total of eight largest airports, Canada",Other International sector passengers,120333
Nov-20,"Total of eight largest airports, Canada",Non-passengers,15010
Nov-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,15470
Nov-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,15256
Nov-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,15256
Nov-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,214
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,75367
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,74187
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,32922
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,14938
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,26327
Nov-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1180
Nov-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,21490
Nov-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,16798
Nov-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,16798
Nov-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,4692
Nov-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,196000
Nov-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,192903
Nov-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,88170
Nov-20,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,36315
Nov-20,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,68418
Nov-20,"Toronto/Lester B Pearson International, Ontario",Non-passengers,3097
Nov-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,20338
Nov-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,19143
Nov-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,18574
Nov-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,569
Nov-20,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1195
Nov-20,"Calgary International, Alberta",Total screened traffic,88266
Nov-20,"Calgary International, Alberta",Total passengers,87023
Nov-20,"Calgary International, Alberta",Domestic sector passengers,71671
Nov-20,"Calgary International, Alberta",Transborder sector passengers,11490
Nov-20,"Calgary International, Alberta",Other International sector passengers,3862
Nov-20,"Calgary International, Alberta",Non-passengers,1243
Nov-20,"Edmonton International, Alberta",Total screened traffic,51447
Nov-20,"Edmonton International, Alberta",Total passengers,50907
Nov-20,"Edmonton International, Alberta",Domestic sector passengers,49549
Nov-20,"Edmonton International, Alberta",Transborder sector passengers,507
Nov-20,"Edmonton International, Alberta",Other International sector passengers,851
Nov-20,"Edmonton International, Alberta",Non-passengers,540
Nov-20,"Vancouver International, British Columbia",Total screened traffic,107787
Nov-20,"Vancouver International, British Columbia",Total passengers,104938
Nov-20,"Vancouver International, British Columbia",Domestic sector passengers,69712
Nov-20,"Vancouver International, British Columbia",Transborder sector passengers,14351
Nov-20,"Vancouver International, British Columbia",Other International sector passengers,20875
Nov-20,"Vancouver International, British Columbia",Non-passengers,2849
Dec-20,"Total of eight largest airports, Canada",Total screened traffic,718257
Dec-20,"Total of eight largest airports, Canada",Total passengers,701870
Dec-20,"Total of eight largest airports, Canada",Domestic sector passengers,392175
Dec-20,"Total of eight largest airports, Canada",Transborder sector passengers,109873
Dec-20,"Total of eight largest airports, Canada",Other International sector passengers,199822
Dec-20,"Total of eight largest airports, Canada",Non-passengers,16387
Dec-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,14964
Dec-20,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,14768
Dec-20,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,14768
Dec-20,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,196
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,134933
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,133394
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,43437
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,23819
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,66138
Dec-20,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,1539
Dec-20,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,28557
Dec-20,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,23908
Dec-20,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,23908
Dec-20,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,4649
Dec-20,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,256243
Dec-20,"Toronto/Lester B Pearson International, Ontario",Total passengers,253155
Dec-20,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,102756
