REF_DATE,GEO,Screened traffic,VALUE
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,199974
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,134319
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,34856
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,30799
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,4119
Feb-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1534871
Feb-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1513711
Feb-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,422509
Feb-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,525196
Feb-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,566006
Feb-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,21160
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,165360
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,163869
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,116544
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,23630
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,23695
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1491
Feb-19,"Calgary International, Alberta",Total screened traffic,470014
Feb-19,"Calgary International, Alberta",Total passengers,464983
Feb-19,"Calgary International, Alberta",Domestic sector passengers,268004
Feb-19,"Calgary International, Alberta",Transborder sector passengers,135687
Feb-19,"Calgary International, Alberta",Other International sector passengers,61292
Feb-19,"Calgary International, Alberta",Non-passengers,5031
Feb-19,"Edmonton International, Alberta",Total screened traffic,274005
Feb-19,"Edmonton International, Alberta",Total passengers,267890
Feb-19,"Edmonton International, Alberta",Domestic sector passengers,189567
Feb-19,"Edmonton International, Alberta",Transborder sector passengers,51479
Feb-19,"Edmonton International, Alberta",Other International sector passengers,26844
Feb-19,"Edmonton International, Alberta",Non-passengers,6115
Feb-19,"Vancouver International, British Columbia",Total screened traffic,742278
Feb-19,"Vancouver International, British Columbia",Total passengers,731326
Feb-19,"Vancouver International, British Columbia",Domestic sector passengers,306549
Feb-19,"Vancouver International, British Columbia",Transborder sector passengers,233772
Feb-19,"Vancouver International, British Columbia",Other International sector passengers,191005
Feb-19,"Vancouver International, British Columbia",Non-passengers,10952
Mar-19,"Total of eight largest airports, Canada",Total screened traffic,4698908
Mar-19,"Total of eight largest airports, Canada",Total passengers,4635312
Mar-19,"Total of eight largest airports, Canada",Domestic sector passengers,1920738
Mar-19,"Total of eight largest airports, Canada",Transborder sector passengers,1394862
Mar-19,"Total of eight largest airports, Canada",Other International sector passengers,1319712
Mar-19,"Total of eight largest airports, Canada",Non-passengers,63596
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,138912
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,135659
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,91509
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,20014
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,24136
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,3253
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,734168
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,727898
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,206597
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,203898
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,317403
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,6270
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,220427
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,215943
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,145448
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,38834
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,31661
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,4484
Mar-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1697451
Mar-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1672253
Mar-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,465245
Mar-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,607476
Mar-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,599532
Mar-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,25198
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,180270
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,178495
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,129955
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,26107
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,22433
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1775
Mar-19,"Calgary International, Alberta",Total screened traffic,543900
Mar-19,"Calgary International, Alberta",Total passengers,538610
Mar-19,"Calgary International, Alberta",Domestic sector passengers,305609
Mar-19,"Calgary International, Alberta",Transborder sector passengers,163382
Mar-19,"Calgary International, Alberta",Other International sector passengers,69619
Mar-19,"Calgary International, Alberta",Non-passengers,5290
Mar-19,"Edmonton International, Alberta",Total screened traffic,305708
Mar-19,"Edmonton International, Alberta",Total passengers,299277
Mar-19,"Edmonton International, Alberta",Domestic sector passengers,216995
Mar-19,"Edmonton International, Alberta",Transborder sector passengers,53413
Mar-19,"Edmonton International, Alberta",Other International sector passengers,28869
Mar-19,"Edmonton International, Alberta",Non-passengers,6431
Mar-19,"Vancouver International, British Columbia",Total screened traffic,878072
Mar-19,"Vancouver International, British Columbia",Total passengers,867177
Mar-19,"Vancouver International, British Columbia",Domestic sector passengers,359380
Mar-19,"Vancouver International, British Columbia",Transborder sector passengers,281738
Mar-19,"Vancouver International, British Columbia",Other International sector passengers,226059
Mar-19,"Vancouver International, British Columbia",Non-passengers,10895
Apr-19,"Total of eight largest airports, Canada",Total screened traffic,4432901
Apr-19,"Total of eight largest airports, Canada",Total passengers,4374733
Apr-19,"Total of eight largest airports, Canada",Domestic sector passengers,1937385
Apr-19,"Total of eight largest airports, Canada",Transborder sector passengers,1300421
